Name,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,2t4,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53
ENSG00000198938.2,34403.04,32224.33,51066.805,15572.92,21618.37,20530.65,26991.65,70600.505,67311.04,53408.515,38452.945,38639.53,53607.875,51529.77,69652.81,59912.54,57042.43,57206.635,38652.67,56674.99,34804.235,19097.68,12094.43,19263.12,0,32854.62,47662.805,32818.45,22691.05,34528.335,22421.19,60652.55,65273.65,76155.51,43079.48,19098.78,25609.28,41122.645,22594.085,17411.24,11674.805,26932.07,36248.415,35278.11,34242.3,39947.36,20881.415,38627.48,35448.3,34948.78,18940.12,21012.18,4366.87
ENSG00000198899.2,32179.255,38298.09,50570.1,17888.98,21827.85,19335.74,29280.75,60384.15,59146.51,66634.75,40989.025,45490.77,"56,284,085",52417.77,63273.54,57054.96,60591.47,"69,357",45336.101,56998.365,33699.525,17016.55,14752.19,18186.46,18370.84,35995.18,41176.94,34730.105,20285.14,35160.26,23122.45,61842.74,69133.85,62490.62,50773.94,22205.94,25625.12,45117.415,22306.75,19570.63,14366.855,25812.86,40377.1,28091.74,25393.36,39320.92,23530.735,40628.945,279278.73,30776.91,22432.99,18815.01,4508.31
ENSG00000198886.2,31186.91,34775.75,53423.885,15271.75,18702.04,16298.07,34114.56,56100.835,53944.07,53953.65,33445.445,40738.08,53432.051,43526.79,59318.43,52690.714,50613.25,57555.705,42879.51,51386.665,32166.615,18542.515,16244.24,19102.055,24353.36,35328.05,43674.735,37754.985,19798.5,40343.58,25188.9,53477.71,65640.62,"55,535",55513.18,24082.5,27900.81,41104.98,24248.61,21321.44,14480.895,22051.7,39641.45,27860.82,24890.1,39648.45,24309.09,44112.345,31149.9,32350.7,22359.71,18245.18,4229.97
ENSG00000198888.2,27680.56,23239.1,26655.355,8624.43,11913.14,10336.24,14225.59,38189.8,36438.54,36394.78,20255.74,29733.45,43231.395,31011.12,36540.2,32138.73,32888.05,38072.32,26368.41,38731.215,23509.45,7353.07,7105.2,9832.755,8407,20169.58,23045.515,18556.605,9545.43,19991.485,13387.85,33181.57,38826.68,30528.85,20116.1,13543.67,13488.66,31111.49,14116.405,8117.65,9068.93,10726.07,16627.38,18465.93,19390.18,21835.68,13146.01,24812.61,22758.38,"13,312",10192.28,8359.7,2742.68
ENSG00000198712.1,27504.76,29998.06,47142.7,12835.5,19470.57,15359.84,29098.01,63890.3,67300.73,74139.04,41856.355,42976.63,62257.785,61619.38,72014.09,65548.57,64362.65,79660.175,50197.84,75193.775,28382.86,24398.06,"23,152",16768.71,15381.95,37678.71,53741.335,37479.13,24622.36,40474.725,21856.86,43485.802,62644.49,"65,554",46285.65,21816.16,24948.28,37471.865,18735.665,13577.38,12384.255,23476.96,36979.46,27230.24,25404.14,43722.41,26198.76,40048.135,26090.88,28489.885,17577.11,19088.45,5343.68
ENSG00000198763.3,25802.735,27457.32,25021.275,9538.41,13554.55,10140.15,15903.62,37673.57,35153.55,48238.825,22953.545,26722.81,35566.73,31653.02,38218.34,36320.48,39445.51,48450.445,36878.79,41989.555,25013.885,6168.025,5964.4,12182.245,13811.65,24751.46,22793.245,22479.95,9744.08,23925.535,16217.74,31203.71,34687.84,31870.46,22907.42,13392.33,14422.87,22310.15,16721.165,12157.41,9516.17,15997.6,21841.045,17203.72,16094.47,22516.16,11683.545,24811.89,18222.98,16269.845,12259,11613.23,2173.36
ENSG00000198727.2,23732.25,24733.02,28277.07,12782.73,15844.1,12840.27,23028.37,32500.305,27668.44,41000.425,20638.635,26744.28,30684.04,23847.81,32945.59,29349.58,36601.52,44290.985,21740.26,29698.59,23109.68,6120.315,9900.69,14340.795,15117.8,23831.02,26601.785,26364.24,12206.14,26752.61,18915.73,37219.95,46229.56,36446.16,31211.64,12235.97,17270.89,29962.76,15972.97,12928.26,9239.3,19401.3,26739.92,19481.22,17092.94,25852.28,12645.07,27084.72,15425.59,19829.865,14818.13,12747.39,2383.7
ENSG00000198804.2,22095.79,22833.69,60776.98,13300.18,18843.6,20213.36,31248.57,68516.04,64971.34,49462.74,24802.44,28940.07,68867.37,54600.3,65875.12,53019.34,42571.97,55233.41,29936.14,"52,577,850",23964.03,19779.2,18802.49,16885.28,17829.08,26886.52,49031.44,32745.91,23827.34,32380.855,22309.27,66457.78,82391.43,35174.17,29471.93,21087.84,25392.04,49598.985,16016.58,14337.32,11940.775,8215.77,17278.335,32089.26,29754.53,45567.21,25710.945,40246.825,20778.67,23863.185,19159.64,16684.04,4006.94
ENSG00000228253.1,21203.01,24001.6,28811.254,11129.44,13441.91,12061.7,16232.79,32443.79,32415.79,34005.48,22089.64,26887.73,32048.84,27828.74,34043.36,30401.9,31349.16,34532.485,25369.54,31988.04,21889.395,11830.01,10070.05,10871.305,12308.58,22523.71,25453.685,20887.335,13024.27,20818.24,12994.18,35447.42,40553.08,32527.12,29760.75,13954.15,16622.77,27719.895,14457.64,12698.06,9212.505,15993.7,25648.705,18157.49,16604.04,24688.12,13428.585,24313.275,16715.69,19843.335,13748.43,12848.71,2364.76
ENSG00000198840.2,17109.14,21661.03,21264.555,7842.72,13437.32,9575.24,12617.87,25673.315,24145.44,27220.145,15864.94,15696.74,20027.19,20307.76,25565.9,24609.9,25888.75,29088.025,21814.03,23178.61,18225.59,4818,4201.57,8937.39,9843.56,19620.57,18084.765,16962.08,7146.96,18153.98,11208.59,29034.38,31790.08,28664.55,18756,8035.25,11114.42,14913.45,11799.48,9585.67,7522.475,11963.85,19559.535,12412.14,11020.71,16421.1,9544.485,19782.79,12423.04,14391.2,9669.22,9242.6,1779.66
